fórmula,massa molar calculada pelo pymatgen,número de elementos calculado pelo pymatgen,eletronegatividade média calculada pelo pymatgen,desvio de eletronegatividade calculado pelo pymatgen,raio atômico médio calculado pelo pymatgen
Fe0.42La0.58,104.02007259999999,2,1.465,0.365,1.6749999999999998
Fe0.41La0.59,104.8506773,2,1.465,0.365,1.6749999999999998
Fe0.40La0.60,105.68128200000001,2,1.465,0.365,1.6749999999999998
Fe0.39La0.61,106.5118867,2,1.465,0.365,1.6749999999999998
Fe0.38La0.62,107.3424914,2,1.465,0.365,1.6749999999999998
Fe0.37La0.63,108.17309610000001,2,1.465,0.365,1.6749999999999998
Fe0.36La0.64,109.00370080000002,2,1.465,0.365,1.6749999999999998
Fe0.35La0.65,109.83430550000001,2,1.465,0.365,1.6749999999999998
Fe0.34La0.66,110.66491020000001,2,1.465,0.365,1.6749999999999998
Fe0.33La0.67,111.4955149,2,1.465,0.365,1.6749999999999998
Fe0.32La0.68,112.32611960000001,2,1.465,0.365,1.6749999999999998
Fe0.31La0.69,113.1567243,2,1.465,0.365,1.6749999999999998
Fe0.30La0.70,113.987329,2,1.465,0.365,1.6749999999999998
Fe0.29La0.71,114.8179337,2,1.465,0.365,1.6749999999999998
Fe0.28La0.72,115.6485384,2,1.465,0.365,1.6749999999999998
Fe0.27La0.73,116.47914310000002,2,1.465,0.365,1.6749999999999998
Fe0.26La0.74,117.30974780000001,2,1.465,0.365,1.6749999999999998
Fe0.25La0.75,118.1403525,2,1.465,0.365,1.6749999999999998
Fe0.24La0.76,118.9709572,2,1.465,0.365,1.6749999999999998
Fe0.23La0.77,119.80156190000001,2,1.465,0.365,1.6749999999999998
Fe0.22La0.78,120.6321666,2,1.465,0.365,1.6749999999999998
Fe0.21La0.79,121.46277130000001,2,1.465,0.365,1.6749999999999998
Fe0.20La0.80,122.29337600000001,2,1.465,0.365,1.6749999999999998
Fe0.19La0.81,123.12398070000002,2,1.465,0.365,1.6749999999999998
